Z_Depth_m,BBox_Area_px2
1.5008,17828.14
1.4678,18340.82
1.4358,22852.83
1.4063,25086.21
1.3899,25303.87
1.4019,23664.9
1.4313,22162.82
1.4648,23727.87
1.4945,23587.41
1.5288,20862.52
1.5794,18460.35
1.6253,16527.09
1.6504,16687.35
1.6519,16551.73
1.6405,16144.08
1.616,16547.55
1.575,16632.44
1.5217,18282.25
1.4667,18900.97
1.4029,18122.16
1.3403,20509.96
1.2867,23498.39
1.2513,24688.08
1.2285,26072.23
1.2318,28259.93
1.2482,26112.62
1.2983,26471.41
1.3461,22222.63
1.3863,21411.37
1.4236,20157.7
1.4465,17926.9
1.4512,17780.35
1.431,17294.42
1.3999,18566.72
1.3563,20031.81
1.3283,21234.39
1.3251,21115.86
1.3399,22971.2
1.3553,22398.64
1.3773,23906.54
1.3986,22671.18
1.4355,20357.55
1.464,20945.65
1.4748,18578.79
1.4728,21325.91
1.4522,20792.42
1.4339,21038.67
1.4174,20264.92
1.3962,23688.75
1.3681,23129.8
1.348,24343.82
1.3349,24637.34
1.3286,26295.55
1.3365,23989.19
1.3559,25202.6
1.3764,25652.14
1.4012,24730.6
1.4341,23166.46
1.4668,24789.66
1.497,22013.77
1.5288,21207.59
1.5609,19322.76
1.5928,18970.01
1.6214,18102.63
1.635,15911.78
1.6341,15691.95
1.6083,16620.51
1.5632,16716.13
1.5117,18805.65
1.4535,20609.74
1.3993,21512.02
1.3609,23552.56
1.3307,25749.35
1.3191,25397.58
1.328,26702.22
1.3388,26049.0
1.3856,23615.69
1.4431,22021.55
1.48,19761.75
1.5022,19372.25
1.5066,18152.44
1.4989,18188.1
1.476,20001.86
1.4438,19760.49
1.4288,19462.6
1.4187,18113.77
1.4128,20253.47
1.4229,21621.18
1.4392,20804.94
1.4669,20129.03
1.4957,18653.91
1.5186,17999.02
1.5246,17503.38
1.5145,17184.48
1.4895,17952.3
1.4536,18898.38
1.4127,19556.24
1.3684,21775.33
1.3285,22602.72
1.298,24512.56
1.2842,25060.3
1.2881,25739.51
1.2994,25435.43
1.3175,25578.33
1.3394,23639.48
1.3706,22685.57
1.3995,21915.39
1.4188,21610.69
1.4261,20399.18
1.4266,21198.86
1.4233,19713.29
1.4228,18827.34
1.4213,19965.12
1.4187,18714.81
1.4244,17731.47
1.4334,17192.12
1.4254,17208.1
1.405,17201.59
1.3785,16740.83
1.3482,18366.26
1.3077,19859.73
1.2652,19733.18
1.2392,23662.07
1.2109,24006.56
1.2164,22974.74
1.2239,23806.44
1.2278,24216.0
1.2327,23646.05
1.2459,23644.13
1.2535,22760.26
1.2607,22768.3
1.2661,22316.61
1.2702,21650.4
1.2656,22717.3
1.2524,22054.93
1.2491,19653.27
1.2547,21720.36
1.2457,23270.64
1.241,22990.21
1.2511,22929.58
1.2813,21856.23
1.3209,19936.29
1.3516,19593.83
1.3676,18093.71
1.3735,19135.08
1.3649,18777.66
1.3487,19428.03
1.3274,20779.75
1.3024,21040.69
1.2808,23032.49
1.2619,23097.37
1.2624,23787.67
1.279,25485.91
1.3124,22977.85
1.3548,22052.21
1.3834,21106.65
1.3917,20206.27
1.3789,20224.23
1.3479,21393.44
1.3035,21821.98
1.2533,23341.27
1.1911,26229.9
1.1313,29854.17
1.0894,32651.66
1.0721,33174.58
1.0664,37571.39
1.063,38710.44
1.0854,35778.2
1.1542,30728.74
1.2146,28504.54
1.2592,24865.32
1.2911,24359.79
1.3078,22323.5
1.3019,22598.61
1.2657,25569.53
1.2145,25954.39
1.1693,27638.43
1.1237,30700.6
1.0757,35325.05
1.0423,34838.96
1.0301,38856.64
1.0406,28867.49
1.0751,25382.47
1.1302,32744.35
1.1694,34782.89
1.1924,28050.96
1.2238,25744.4
1.2454,27506.83
1.2567,25831.47
1.2608,26203.93
1.2447,26421.54
1.2168,28225.23
1.1821,19959.18
1.1612,24540.45
1.1288,20513.29
1.0781,26531.99
1.0114,38216.81
0.9486,37345.68
0.9197,35247.74
0.9267,35724.73
0.9525,43614.7
1.0025,50341.68
1.0948,36727.32
1.2282,26791.34
1.3606,21175.7
1.4575,20477.18
1.5059,18779.31
1.5035,18339.98
1.4497,18477.76
1.3544,21204.3
1.2424,25071.71
1.1266,31136.37
1.0445,37220.13
0.9906,44393.7
0.9639,48788.46
0.9811,42143.17
1.0618,38351.04
1.1658,35726.17
1.2812,30640.68
1.3917,24097.73
1.4785,20427.02
1.5263,18103.22
1.5277,17391.55
1.4814,18444.67
1.3949,20222.17
1.2863,24327.13
1.1744,29144.12
1.0812,31456.73
1.0209,37605.48
0.9805,44030.62
0.9699,40616.39
1.0087,38139.12
1.0874,22990.73
1.1725,28331.39
1.2478,30092.58
1.3035,22187.33
1.3485,23826.28
1.3809,19478.73
1.3865,19459.27
1.3623,18073.09
1.3144,21897.8
1.2573,19199.92
1.1873,20071.49
1.0997,27545.43
0.9941,32082.44
0.8829,44755.38
0.7965,42129.81
0.7618,42456.81
0.7758,49194.19
